Processes,Input Size,Total Computation,Total Gathering,Individual Data Ingestion Min,Individual Data Ingestion Max,Individual Data Ingestion Avg,Individual Computation Min,Individual Computation Max,Individual Computation Avg
8,2560,0.018992,0.002481,0.000109,0.000468,0.000317,0.016175,0.023752,0.020306
16,2560,0.022853,0.001797,0.000122,0.001027,0.000484,0.020397,0.032845,0.028609
32,2560,0.031754,0.002299,0.000231,0.001062,0.000653,0.027300,0.042377,0.035258
64,2560,0.056314,0.009912,0.000103,0.000986,0.000527,0.003855,0.046443,0.030117
128,2560,2.415447,0.578638,0.000073,0.017995,0.003983,1.821166,2.399312,2.097989
256,2560,6.381587,0.758222,0.000069,0.036888,0.006879,5.517252,6.372416,5.938224
8,25600,0.029548,0.008343,0.000599,0.005888,0.001843,0.015316,0.021050,0.018816
16,25600,0.021846,0.004129,0.000239,0.001980,0.000947,0.008565,0.017828,0.014070
32,25600,0.023531,0.004821,0.000701,0.001504,0.000989,0.012846,0.023882,0.018198
64,25600,0.029329,0.011608,0.000162,0.001349,0.000812,0.005530,0.040948,0.023670
128,25600,2.269077,0.525262,0.000070,0.030563,0.005027,1.715251,2.271859,1.941742
256,25600,6.024417,0.619588,0.000069,0.043669,0.006699,5.254803,5.971811,5.684519
8,256000,0.029779,0.002634,0.000510,0.001665,0.000989,0.026634,0.035254,0.031275
16,256000,0.040583,0.007730,0.000528,0.002709,0.001260,0.032089,0.043200,0.041695
32,256000,0.063003,0.003671,0.000466,0.001691,0.000981,0.045943,0.063611,0.058226
64,256000,0.050469,0.004350,0.000309,0.020641,0.001131,0.022023,0.053945,0.041966
128,256000,2.421910,0.285681,0.000250,0.016920,0.003867,2.043081,2.438320,2.260461
256,256000,6.038366,0.119743,0.000070,0.038999,0.008140,5.246958,6.030500,5.683811
8,2560000,0.279362,0.024040,0.003096,0.008026,0.005400,0.251640,0.278363,0.271144
16,2560000,0.247901,0.021050,0.001728,0.002951,0.002360,0.224874,0.250016,0.242871
32,2560000,0.271883,0.006868,0.001255,0.002832,0.001937,0.251484,0.278851,0.268893
64,2560000,0.199806,0.010076,0.000562,0.001823,0.001260,0.174688,0.202927,0.189412
128,2560000,2.011768,0.107583,0.000127,0.017657,0.004223,1.730316,1.998989,1.845805
256,2560000,7.634597,1.970982,0.000375,0.031937,0.007029,5.604148,7.555749,6.594831
