Processes,Input Size,Total Computation,Total Gathering,Individual Data Ingestion Min,Individual Data Ingestion Max,Individual Data Ingestion Avg,Individual Computation Min,Individual Computation Max,Individual Computation Avg
8,2560,0.013576,0.002329,0.000259,0.000935,0.000571,0.010614,0.018655,0.014823
16,2560,0.035299,0.001743,0.000086,0.001056,0.000561,0.028976,0.045809,0.040251
32,2560,0.036467,0.009099,0.000332,0.001375,0.000718,0.012657,0.036852,0.030114
64,2560,0.021936,0.008885,0.000220,0.001225,0.000645,0.000452,0.045482,0.020612
128,2560,2.533982,0.279339,0.000072,0.013621,0.003640,1.851989,2.497955,2.262315
256,2560,7.339079,1.467549,0.000071,0.037575,0.008625,5.633975,7.297329,6.499882
8,25600,0.016687,0.000268,0.000615,0.001416,0.000962,0.015751,0.024820,0.021120
16,25600,0.022144,0.004653,0.000421,0.013795,0.001793,0.011117,0.024315,0.021204
32,25600,0.040250,0.000176,0.000492,0.006108,0.001238,0.027750,0.048561,0.039478
64,25600,0.052543,0.004494,0.000081,0.001468,0.000696,0.004948,0.068814,0.042496
128,25600,2.455726,0.226312,0.000068,0.018948,0.003922,1.868164,2.425284,2.229100
256,25600,6.468404,0.468933,0.000064,0.040999,0.007673,5.305188,6.464820,6.012950
8,256000,0.035201,0.004499,0.000723,0.002567,0.001670,0.029661,0.038168,0.035316
16,256000,0.046632,0.003397,0.000379,0.001607,0.000773,0.039148,0.050201,0.045884
32,256000,0.048320,0.002942,0.000427,0.001288,0.000817,0.031033,0.050168,0.043895
64,256000,0.032275,0.005270,0.000085,0.001522,0.000643,0.019991,0.040597,0.030352
128,256000,2.343898,0.161133,0.000215,0.016182,0.004463,1.745876,2.373365,2.159288
256,256000,7.209714,0.877972,0.000069,0.041612,0.010399,5.868552,7.216134,6.729786
8,2560000,0.200395,0.024430,0.000881,0.003917,0.002598,0.174984,0.202568,0.193778
16,2560000,0.189828,0.014648,0.001479,0.003741,0.002453,0.173385,0.193124,0.189440
32,2560000,0.204243,0.009663,0.000418,0.002285,0.001444,0.186437,0.207768,0.200133
64,2560000,0.191295,0.008449,0.000658,0.004808,0.001579,0.161596,0.185443,0.174309
128,2560000,2.512732,0.490773,0.000127,0.018875,0.004598,2.021473,2.504457,2.269786
256,2560000,7.008999,0.247575,0.000100,0.037724,0.009855,5.528512,6.958525,6.094189
