Processes,Input Size,Total Computation,Total Gathering,Individual Data Ingestion Min,Individual Data Ingestion Max,Individual Data Ingestion Avg,Individual Computation Min,Individual Computation Max,Individual Computation Avg
8,2560,0.005887,0.005438,0.000351,0.000579,0.000443,0.000033,0.000050,0.000037
16,2560,0.018318,0.017894,0.000179,0.000694,0.000468,0.000021,0.000046,0.000027
32,2560,0.040059,0.039638,0.000107,0.001101,0.000508,0.000015,0.000069,0.000018
64,2560,0.016011,0.015612,0.000076,0.000863,0.000369,0.000011,0.000035,0.000015
128,2560,0.093563,0.079904,0.000072,0.017356,0.003789,0.000005,0.000020,0.000007
256,2560,0.349591,0.329387,0.000073,0.063910,0.010301,0.000005,0.000064,0.000008
8,25600,0.014194,0.013442,0.000237,0.001207,0.000626,0.000259,0.000287,0.000274
16,25600,0.024082,0.023601,0.000246,0.000780,0.000456,0.000131,0.000148,0.000136
32,25600,0.042880,0.042437,0.000100,0.002536,0.000690,0.000069,0.000260,0.000082
64,25600,0.040289,0.039741,0.000077,0.001328,0.000490,0.000038,0.000073,0.000047
128,25600,0.071009,0.068211,0.000069,0.019647,0.003608,0.000021,0.001324,0.000037
256,25600,0.112997,0.108340,0.000069,0.035803,0.007897,0.000015,0.014006,0.000112
8,256000,0.031520,0.027519,0.000573,0.001413,0.000980,0.003090,0.004026,0.003391
16,256000,0.031215,0.029149,0.000503,0.001041,0.000742,0.001447,0.001855,0.001555
32,256000,0.060942,0.059188,0.000108,0.001993,0.000808,0.000688,0.000823,0.000713
64,256000,0.028743,0.028020,0.000106,0.001290,0.000693,0.000332,0.000427,0.000361
128,256000,0.079243,0.075854,0.000079,0.015770,0.003301,0.000153,0.002650,0.000187
256,256000,0.098211,0.098048,0.000071,0.043697,0.008918,0.000078,0.000177,0.000087
8,2560000,0.156319,0.118081,0.002420,0.003670,0.003080,0.035713,0.037130,0.036357
16,2560000,0.156814,0.138021,0.000808,0.003287,0.001819,0.017382,0.018154,0.017686
32,2560000,0.168438,0.159805,0.000316,0.001466,0.000859,0.008073,0.009580,0.008790
64,2560000,0.172006,0.167447,0.000285,0.001831,0.000989,0.003812,0.004859,0.003938
128,2560000,0.382065,0.379806,0.000128,0.017877,0.003077,0.001797,0.009543,0.002215
256,2560000,0.875758,0.856757,0.000099,0.046191,0.010488,0.000853,0.027797,0.001375
