Processes,Input Size,Total Computation,Total Gathering,Individual Data Ingestion Min,Individual Data Ingestion Max,Individual Data Ingestion Avg,Individual Computation Min,Individual Computation Max,Individual Computation Avg
8,2560,0.017006,0.016606,0.000101,0.000668,0.000389,0.000019,0.000028,0.000021
16,2560,0.025480,0.024756,0.000324,0.000948,0.000650,0.000015,0.000096,0.000027
32,2560,0.016084,0.014955,0.000198,0.001113,0.000693,0.000013,0.000106,0.000025
64,2560,0.034081,0.033153,0.000097,0.002036,0.000567,0.000011,0.000058,0.000018
128,2560,0.067832,0.059919,0.000076,0.023213,0.003898,0.000004,0.009991,0.000085
256,2560,0.105521,0.096848,0.000073,0.041818,0.008133,0.000004,0.000059,0.000006
8,25600,0.009490,0.008686,0.000730,0.001316,0.001099,0.000070,0.000121,0.000083
16,25600,0.026798,0.026269,0.000102,0.001306,0.000756,0.000041,0.000087,0.000050
32,25600,0.032382,0.030828,0.000082,0.001524,0.000546,0.000028,0.000039,0.000030
64,25600,0.017282,0.016936,0.000077,0.000990,0.000532,0.000020,0.000041,0.000026
128,25600,0.071410,0.065180,0.000071,0.012890,0.003023,0.000013,0.000046,0.000018
256,25600,0.230647,0.230559,0.000070,0.049591,0.010256,0.000011,0.009691,0.000054
8,256000,0.039953,0.038799,0.000189,0.001067,0.000785,0.000688,0.000728,0.000708
16,256000,0.025596,0.024546,0.000423,0.001095,0.000745,0.000348,0.000571,0.000387
32,256000,0.028976,0.028010,0.000484,0.001289,0.000828,0.000177,0.000338,0.000192
64,256000,0.025993,0.025809,0.000087,0.000972,0.000585,0.000095,0.000133,0.000108
128,256000,0.067111,0.066985,0.000076,0.017718,0.002949,0.000041,0.000124,0.000053
256,256000,0.166596,0.152951,0.000072,0.041807,0.008168,0.000026,0.000055,0.000034
8,2560000,0.091210,0.081755,0.000977,0.001913,0.001268,0.007769,0.009032,0.008383
16,2560000,0.090212,0.084830,0.000778,0.002363,0.001660,0.003685,0.004455,0.003823
32,2560000,0.110887,0.108245,0.000399,0.002196,0.001247,0.001794,0.002048,0.001853
64,2560000,0.098782,0.097578,0.000239,0.001878,0.000891,0.000869,0.001001,0.000908
128,2560000,0.198708,0.198122,0.000127,0.014188,0.003578,0.000431,0.003497,0.000616
256,2560000,0.565547,0.553327,0.000098,0.053320,0.010192,0.000215,0.003616,0.000249
