Processes,Input Size,Total Computation,Total Gathering,Individual Data Ingestion Min,Individual Data Ingestion Max,Individual Data Ingestion Avg,Individual Computation Min,Individual Computation Max,Individual Computation Avg
8,2560,0.017080,0.016696,0.000092,0.001001,0.000415,0.000019,0.000049,0.000024
16,2560,0.011963,0.011194,0.000095,0.000874,0.000515,0.000015,0.000095,0.000025
32,2560,0.049942,0.049525,0.000099,0.001029,0.000474,0.000012,0.000029,0.000016
64,2560,0.015923,0.015346,0.000121,0.001133,0.000521,0.000011,0.000029,0.000014
128,2560,0.053751,0.042128,0.000077,0.020021,0.003708,0.000005,0.005067,0.000065
256,2560,0.175657,0.169073,0.000071,0.041664,0.010510,0.000004,0.000036,0.000006
8,25600,0.008491,0.007578,0.000311,0.006180,0.001971,0.000074,0.000090,0.000078
16,25600,0.019172,0.018615,0.000257,0.000867,0.000450,0.000043,0.000048,0.000046
32,25600,0.040755,0.040324,0.000400,0.002306,0.000815,0.000029,0.000106,0.000038
64,25600,0.009789,0.009214,0.000140,0.001168,0.000649,0.000021,0.000042,0.000029
128,25600,0.061765,0.059046,0.000070,0.016979,0.004173,0.000013,0.000030,0.000018
256,25600,0.164730,0.132975,0.000065,0.058359,0.012497,0.000011,0.000098,0.000016
8,256000,0.027614,0.025940,0.000645,0.001045,0.000856,0.000714,0.000770,0.000735
16,256000,0.029434,0.028345,0.000487,0.001356,0.000879,0.000366,0.000444,0.000383
32,256000,0.046836,0.045185,0.000103,0.001411,0.000596,0.000184,0.000248,0.000200
64,256000,0.034746,0.034556,0.000082,0.001146,0.000637,0.000097,0.000145,0.000110
128,256000,0.065581,0.060690,0.000079,0.016696,0.004282,0.000043,0.000080,0.000054
256,256000,0.163398,0.160995,0.000072,0.034155,0.009141,0.000026,0.000069,0.000035
8,2560000,0.099563,0.089981,0.001028,0.002803,0.001529,0.008071,0.008492,0.008202
16,2560000,0.092875,0.088152,0.000459,0.002775,0.001646,0.003825,0.004591,0.004034
32,2560000,0.109123,0.091857,0.000293,0.019163,0.002182,0.001888,0.004383,0.002151
64,2560000,0.163287,0.161976,0.000262,0.086712,0.021471,0.000914,0.002418,0.001321
128,2560000,0.183536,0.170323,0.000135,0.019691,0.004165,0.000457,0.010033,0.000607
256,2560000,0.467550,0.460672,0.000100,0.037214,0.010644,0.000221,0.022621,0.000418
